store_id,store_name,city,region,store_type,product_name,category,brand,unit_cost,unit_price,margin_pct,regular_customers,new_customers,loyalty_customers,cash_payments,card_payments,total_transactions,total_units_sold,avg_unit_price,avg_discount_pct,total_cost,gross_revenue,total_discount_given,net_revenue,gross_profit,regular_customers.1,new_customers.1,loyalty_customers.1,cash_payments.1,card_payments.1,total_returns,total_units_returned,total_refunded,defective_returns,wrong_item_returns,dissatisfied_returns,return_rate_pct,current_stock,reorder_level,last_restocked,days_since_restock,stock_status,suppliers,est_days_stock_remaining,first_sale_date,last_sale_date,_processed_at,_pipeline_version,_n_transforms
5,Toronto Centre,Toronto,Canada,Flagship,Levi's Jeans Model-905,Clothing,Levi'S,46.82,94.94,50.68,0,0,0,0,0,1,5,1396.38,15.0,234.1,0.0,1047.285,16362.74,6747.8,0,0,0,0,0,1,1,148.5,0,0,0,100.0,202.0,39.0,2024-01-22,854.0,OK,Supplier A,2836.0,2023-08-07,2023-08-07,2026-05-25T17:44:39.390524,1.0.0,15
5,Toronto Centre,Toronto,Canada,Flagship,Various Fiction Model-996,Books,Various,7.77,20.55,62.19,0,0,0,0,1,1,10,643.89,20.0,77.7,0.0,1287.78,16362.74,6361.2,0,0,0,0,1,0,0,0.0,0,0,0,0.0,0.0,28.0,Unknown,869.0,NO DATA,Unknown,2836.0,2022-02-28,2022-02-28,2026-05-25T17:44:39.390524,1.0.0,15
5,Toronto Centre,Toronto,Canada,Flagship,L'Oreal Skincare Model-160,Beauty,L'Oreal,38.94,57.34,69.67,1,0,2,4,1,11,65,1417.31,4.44,648.39,93388.17,3894.361,89493.81,15185.01,1,0,2,4,1,0,0,0.0,0,0,0,0.0,0.0,28.0,Unknown,869.0,NO DATA,Unknown,0.0,2022-03-09,2024-12-19,2026-05-25T17:44:39.390524,1.0.0,15
5,Toronto Centre,Toronto,Canada,Flagship,Levi's Jeans Model-622,Clothing,Levi'S,36.58,96.44,62.07,2,0,0,2,1,7,59,1629.32,4.17,2158.22,91206.58,3304.5315,87902.05,93971.66,2,0,0,2,1,0,0,0.0,0,0,0,0.0,0.0,28.0,Unknown,869.0,NO DATA,Unknown,0.0,2022-11-12,2024-06-15,2026-05-25T17:44:39.390524,1.0.0,15
5,Toronto Centre,Toronto,Canada,Flagship,Dell Laptops Model-778,Electronics,Dell,695.77,911.99,23.71,2,0,3,3,3,10,73,1259.01,10.0,50791.21,82246.77,8970.351,73276.42,41116.52,2,0,3,3,3,0,0,0.0,0,0,0,0.0,428.0,47.0,2023-01-01,1240.0,OK,Supplier B,5734.0,2022-01-27,2024-10-01,2026-05-25T17:44:39.390524,1.0.0,15
5,Toronto Centre,Toronto,Canada,Flagship,IKEA Furniture Model-825,Home,Ikea,203.98,408.01,50.01,3,0,3,2,4,9,52,1405.33,5.0,10606.96,76102.47,4101.378,72001.09,62470.2,3,0,3,2,4,0,0,0.0,0,0,0,0.0,17.0,15.0,2023-04-28,1123.0,OK,Supplier B,346.2,2022-01-07,2024-12-01,2026-05-25T17:44:39.390524,1.0.0,15
5,Toronto Centre,Toronto,Canada,Flagship,IKEA Furniture Model-297,Home,Ikea,188.64,471.39,59.98,0,0,2,4,1,9,50,1283.39,3.89,9432.0,66751.82,2541.5975,64210.22,54737.5,0,0,2,4,1,0,0,0.0,0,0,0,0.0,341.0,40.0,2024-01-16,860.0,OK,Direct,6772.3,2022-01-30,2024-10-19,2026-05-25T17:44:39.390524,1.0.0,15
5,Toronto Centre,Toronto,Canada,Flagship,Dell Laptops Model-487,Electronics,Dell,521.52,901.3,42.14,2,0,2,3,1,6,51,1175.67,1.0,26597.52,62245.99,771.9795,61474.01,33361.65,2,0,2,3,1,1,1,485.75,0,0,0,16.67,103.0,11.0,2024-04-06,779.0,OK,Direct,1397.6,2022-04-01,2024-02-22,2026-05-25T17:44:39.390524,1.0.0,15
5,Toronto Centre,Toronto,Canada,Flagship,L'Oreal Skincare Model-515,Beauty,L'Oreal,19.09,62.73,69.57,1,0,3,2,0,8,53,1198.94,11.43,1011.77,59315.49,3082.26,56233.23,62532.05,1,0,3,2,0,0,0,0.0,0,0,0,0.0,19.0,18.0,2024-03-26,790.0,OK,Supplier A,357.8,2022-01-15,2024-10-09,2026-05-25T17:44:39.390524,1.0.0,15
5,Toronto Centre,Toronto,Canada,Flagship,Apple Smartphones Model-580,Electronics,Apple,695.42,1162.25,40.17,3,0,4,2,3,12,58,1403.34,5.45,40334.36,59258.81,3226.5495,56032.26,41059.36,3,0,4,2,3,1,2,459.12,0,0,0,8.33,498.0,23.0,2023-02-19,1191.0,OK,Direct,7246.8,2022-06-15,2024-10-06,2026-05-25T17:44:39.390524,1.0.0,15
5,Toronto Centre,Toronto,Canada,Flagship,IKEA Furniture Model-159,Home,Ikea,175.5,462.72,62.07,2,0,0,3,1,7,44,1243.85,0.0,7722.0,58267.65,0.0,58267.65,47007.4,2,0,0,3,1,1,2,425.64,1,0,0,14.29,249.0,23.0,2023-04-25,1126.0,OK,Supplier B,4606.5,2022-09-07,2024-11-29,2026-05-25T17:44:39.390524,1.0.0,15
5,Toronto Centre,Toronto,Canada,Flagship,Apple Smartphones Model-288,Electronics,Apple,754.48,1305.2,42.19,5,0,0,2,1,9,58,1133.72,12.78,43759.84,56994.84,8897.396,48097.44,21995.92,5,0,0,2,1,1,2,587.56,0,0,0,11.11,16.0,40.0,2024-07-21,673.0,REORDER NOW,Supplier B,233.4,2022-04-26,2024-08-19,2026-05-25T17:44:39.390524,1.0.0,15
5,Toronto Centre,Toronto,Canada,Flagship,Various Fiction Model-185,Books,Various,9.57,19.59,51.15,1,0,1,3,2,7,50,1311.87,6.0,478.5,55533.93,2860.0965,52673.83,65115.0,1,0,1,3,2,1,3,1560.28,0,0,0,14.29,67.0,26.0,2024-05-18,737.0,OK,Supplier B,1298.5,2022-03-29,2024-11-22,2026-05-25T17:44:39.390524,1.0.0,15
5,Toronto Centre,Toronto,Canada,Flagship,Dell Laptops Model-742,Electronics,Dell,696.02,859.36,19.01,3,0,2,2,3,9,58,972.66,8.75,40369.16,54939.03,4575.249,50363.78,16045.12,3,0,2,2,3,0,0,0.0,0,0,0,0.0,418.0,19.0,2023-05-11,1110.0,OK,Supplier B,6284.4,2022-07-29,2024-12-17,2026-05-25T17:44:39.390524,1.0.0,15
5,Toronto Centre,Toronto,Canada,Flagship,Levi's Jeans Model-701,Clothing,Levi'S,34.26,87.61,60.89,2,0,2,1,5,11,59,1007.5,7.5,2021.34,54911.92,4100.463,50811.46,57421.16,2,0,2,1,5,0,0,0.0,0,0,0,0.0,302.0,13.0,2024-02-16,829.0,OK,Direct,4780.8,2022-03-22,2024-10-11,2026-05-25T17:44:39.390524,1.0.0,15
5,Toronto Centre,Toronto,Canada,Flagship,Various Beverages Model-103,Food,Various,1.66,7.81,78.75,3,0,1,2,1,6,50,1121.01,5.0,83.0,53488.74,1205.8235,52282.92,55967.5,3,0,1,2,1,0,0,0.0,0,0,0,0.0,433.0,30.0,2024-07-08,686.0,OK,Direct,6945.3,2022-05-07,2024-07-17,2026-05-25T17:44:39.390524,1.0.0,15
5,Toronto Centre,Toronto,Canada,Flagship,IKEA Furniture Model-110,Home,Ikea,175.56,417.06,57.91,1,0,1,2,2,7,42,1319.19,4.17,7373.52,52087.01,3355.411,48731.6,48032.46,1,0,1,2,2,0,0,0.0,0,0,0,0.0,341.0,5.0,2023-01-01,1240.0,OK,Supplier B,5553.4,2022-02-21,2024-01-06,2026-05-25T17:44:39.390524,1.0.0,15
5,Toronto Centre,Toronto,Canada,Flagship,Wilson Equipment Model-939,Sports,Wilson,51.97,146.13,64.44,2,0,3,3,1,9,58,1009.42,7.22,3014.26,51760.95,2202.067,49558.88,55532.1,2,0,3,3,1,0,0,0.0,0,0,0,0.0,0.0,28.0,Unknown,869.0,NO DATA,Unknown,0.0,2022-03-30,2024-09-28,2026-05-25T17:44:39.390524,1.0.0,15
5,Toronto Centre,Toronto,Canada,Flagship,Nike T-Shirts Model-509,Clothing,Nike,13.23,43.62,69.67,1,0,2,1,1,7,54,1085.09,9.29,714.42,51582.07,5679.691,45902.38,57880.44,1,0,2,1,1,1,3,340.69,0,0,0,14.29,366.0,48.0,2024-01-18,858.0,OK,Direct,5510.3,2022-07-21,2024-10-11,2026-05-25T17:44:39.390524,1.0.0,15
5,Toronto Centre,Toronto,Canada,Flagship,Levi's Jeans Model-157,Clothing,Levi'S,32.71,93.13,64.88,0,0,0,0,2,5,46,1164.52,3.75,1504.66,50949.15,2458.83,48490.32,52063.26,0,0,0,0,2,1,2,1158.67,1,0,0,20.0,121.0,39.0,2024-03-30,786.0,OK,Direct,2443.7,2022-01-08,2024-07-25,2026-05-25T17:44:39.390524,1.0.0,15
5,Toronto Centre,Toronto,Canada,Flagship,Levi's Jeans Model-150,Clothing,Levi'S,44.35,98.9,55.16,2,0,1,1,1,6,42,1254.68,4.0,1862.7,50334.86,1916.866,48417.99,50833.86,2,0,1,1,1,1,2,1044.99,0,0,0,16.67,158.0,47.0,2023-07-15,1045.0,OK,Supplier A,1986.3,2023-03-31,2024-09-09,2026-05-25T17:44:39.390524,1.0.0,15
5,Toronto Centre,Toronto,Canada,Flagship,Nike T-Shirts Model-427,Clothing,Nike,15.35,46.89,67.26,3,0,0,2,2,7,43,1162.54,2.86,660.05,50333.69,1518.057,48815.63,49329.17,3,0,0,2,2,0,0,0.0,0,0,0,0.0,16.0,36.0,2024-01-29,847.0,REORDER NOW,Direct,207.6,2022-07-14,2024-01-23,2026-05-25T17:44:39.390524,1.0.0,15
